New frame
Conqueror: 28 122
Conqueror: 19 90
Conqueror: 14 39
Conqueror: 42 81
Conqueror: 28 81
Conqueror: 56 89
Conqueror: 19 89
Conqueror: 14 83
Conqueror: 21 54
Conqueror: 56 54
Conqueror: 22 23
Conqueror: 14 50
Conqueror: 10 20
Conqueror: 3 44
Conqueror: 14 19
Conqueror: 3 26
Conqueror: 3 20
Conqueror: 1 31
Conqueror: 10 31
Conqueror: 16 27
Conqueror: 30 65
Conqueror: 0 65
Conqueror: 27 29
Conqueror: 0 0
Conqueror: 0 84
Conqueror: 0 30
Conqueror: 1 30
Conqueror: 0 75
Conqueror: 3 75
Conqueror: 33 66
Conqueror: 25 76
Conqueror: 31 72
Conqueror: 32 97
Conqueror: 53 100
Conqueror: 43 100
Conqueror: 29 46
Conqueror: 43 128
Conqueror: 25 66
Conqueror: 27 43
Conqueror: 25 43
Conqueror: 29 37
Conqueror: 24 53
Conqueror: 31 53
Conqueror: 35 122
Conqueror: 25 58
Conqueror: 26 90
Conqueror: 18 39
Conqueror: 49 81
Conqueror: 35 81
Conqueror: 21 83
Conqueror: 27 23
Conqueror: 7 44
Conqueror: 32 65
Conqueror: 2 65
Conqueror: 4 84
Conqueror: 8 26
Conqueror: 15 20
Conqueror: 6 31
Conqueror: 15 31
Conqueror: 8 20
Conqueror: 21 19
Conqueror: 2 75
Conqueror: 7 75
Conqueror: 6 30
Conqueror: 6 30
Conqueror: 2 121
Conqueror: 2 50
Conqueror: 0 36
Conqueror: 32 29
Conqueror: 0 29
Conqueror: 0 27
Conqueror: 20 27
Conqueror: 0 89
Conqueror: 26 89
Conqueror: 35 66
Conqueror: 28 76
Conqueror: 35 72
Conqueror: 36 97
Conqueror: 57 100
Conqueror: 49 100
Conqueror: 49 128
Conqueror: 32 46
Conqueror: 29 66
Conqueror: 30 43
Conqueror: 28 43
Conqueror: 32 37
Conqueror: 28 53
Conqueror: 35 53
Conqueror: 42 122
Conqueror: 33 90
Conqueror: 29 58
Conqueror: 56 81
Conqueror: 42 81
Conqueror: 22 39
Conqueror: 28 83
Conqueror: 34 65
Conqueror: 4 65
Conqueror: 8 84
Conqueror: 4 75
Conqueror: 11 75
Conqueror: 10 121
Conqueror: 13 26
Conqueror: 11 31
Conqueror: 20 31
Conqueror: 4 36
Conqueror: 12 30
Conqueror: 11 30
Conqueror: 8 89
Conqueror: 33 89
Conqueror: 4 22
Conqueror: 3 39
Conqueror: 11 44
Conqueror: 3 44
Conqueror: 4 20
Conqueror: 13 20
Conqueror: 4 27
Conqueror: 24 27
Conqueror: 4 27
Conqueror: 2 35
Conqueror: 20 20
Conqueror: 2 20
Conqueror: 2 20
Conqueror: 0 50
Conqueror: 10 50
Conqueror: 37 66
Conqueror: 31 76
